X,Y,Z,ScaledValTrue
1.0,48.0,16.0,0.27235662937164307
1.0,49.0,16.0,0.14541995525360107
1.0,50.0,16.0,0.09431912004947662
1.0,51.0,16.0,0.12421855330467224
1.0,52.0,16.0,0.22071215510368347
1.0,53.0,16.0,0.16580593585968018
1.0,54.0,16.0,0.25659146904945374
1.0,55.0,16.0,0.78526771068573
1.0,56.0,16.0,0.7749388217926025
1.0,57.0,16.0,0.7879859209060669
1.0,58.0,16.0,0.7988583445549011
1.0,59.0,16.0,0.8124490976333618
1.0,60.0,16.0,0.8097308874130249
1.0,61.0,16.0,0.7907040119171143
1.0,62.0,16.0,0.7689589858055115
1.0,63.0,16.0,0.7798314690589905
1.0,64.0,16.0,0.4550149738788605
1.0,65.0,16.0,0.31747758388519287
1.0,66.0,16.0,0.22968198359012604
1.0,67.0,16.0,0.7961402535438538
1.0,68.0,16.0,0.8097308874130249
1.0,69.0,16.0,0.7934221625328064
1.0,70.0,16.0,0.8341941237449646
1.0,71.0,16.0,0.8532209992408752
1.0,72.0,16.0,0.8341941237449646
1.0,73.0,16.0,0.8233215808868408
1.0,74.0,16.0,0.15982605516910553
1.0,75.0,16.0,0.2397390604019165
1.0,76.0,16.0,0.17803750932216644
1.0,77.0,16.0,0.18836639821529388
1.0,78.0,16.0,0.8722479343414307
1.0,79.0,16.0,0.8466974496841431
1.0,80.0,16.0,0.8287578225135803
1.0,81.0,16.0,0.8314759731292725
1.0,82.0,16.0,0.8206034302711487
1.0,83.0,16.0,0.8532209992408752
1.0,84.0,16.0,0.8668116331100464
1.0,85.0,16.0,0.826039731502533
1.0,86.0,16.0,0.8042946457862854
1.0,87.0,16.0,0.7771133780479431
1.0,88.0,16.0,0.7934221625328064
1.0,89.0,16.0,0.3987496495246887
1.0,90.0,16.0,0.10437619686126709
1.0,91.0,16.0,0.13074205815792084
1.0,92.0,16.0,0.2226148545742035
1.0,93.0,16.0,0.1342756301164627
1.0,94.0,16.0,0.11035608500242233
1.0,95.0,16.0,0.16798043251037598
1.0,96.0,16.0,0.20385974645614624
1.0,97.0,16.0,0.20141342282295227
1.0,98.0,16.0,0.3095950186252594
1.0,99.0,16.0,0.49306878447532654
1.0,100.0,16.0,0.2582223415374756
1.0,101.0,16.0,0.2731720507144928
1.0,102.0,16.0,0.466702938079834
1.0,103.0,16.0,0.481924444437027
1.0,104.0,16.0,0.38977983593940735
1.0,105.0,16.0,0.23375916481018066
1.0,106.0,16.0,0.08861104398965836
1.0,107.0,16.0,0.09540636837482452
1.0,108.0,16.0,0.14215821027755737
1.0,109.0,16.0,0.13182930648326874
1.0,110.0,16.0,0.08643653988838196
1.0,111.0,16.0,0.1204131618142128
1.0,112.0,16.0,0.07502039521932602
1.0,113.0,16.0,0.1600978672504425
1.0,114.0,16.0,0.12965479493141174
1.0,115.0,16.0,0.25740689039230347
1.0,116.0,16.0,0.2484370768070221
1.0,117.0,16.0,0.2313128560781479
1.0,118.0,16.0,0.20576244592666626
1.0,119.0,16.0,0.13590650260448456
1.0,120.0,16.0,0.1022016853094101
1.0,121.0,16.0,0.1331883817911148
1.0,122.0,16.0,0.12530580163002014
1.0,123.0,16.0,0.06632237136363983
1.0,124.0,16.0,0.11660777777433395
1.0,125.0,16.0,0.21745039522647858
1.0,126.0,16.0,0.2022288739681244
1.0,127.0,16.0,0.3343299925327301
1.0,128.0,16.0,0.2538733184337616
1.0,129.0,16.0,0.25006797909736633
1.0,130.0,16.0,0.22098396718502045
2.0,1.0,16.0,0.20603424310684204
2.0,2.0,16.0,0.22560478746891022
2.0,3.0,16.0,0.13944007456302643
2.0,4.0,16.0,0.1579233705997467
2.0,5.0,16.0,0.3150312602519989
2.0,6.0,16.0,0.5585756897926331
2.0,7.0,16.0,0.49932047724723816
2.0,8.0,16.0,0.5670019388198853
2.0,9.0,16.0,0.33840715885162354
2.0,10.0,16.0,0.3645012080669403
2.0,11.0,16.0,0.21853764355182648
2.0,12.0,16.0,0.05572166666388512
2.0,13.0,16.0,0.044577326625585556
2.0,14.0,16.0,0.033161189407110214
2.0,15.0,16.0,0.022016853094100952
2.0,16.0,16.0,0.07474857568740845
2.0,17.0,16.0,0.06523512303829193
2.0,18.0,16.0,0.19597716629505157
2.0,19.0,16.0,0.17776569724082947
2.0,20.0,16.0,0.13047024607658386
2.0,21.0,16.0,0.15303072333335876
2.0,22.0,16.0,0.1622723639011383
2.0,23.0,16.0,0.0720304474234581
2.0,24.0,16.0,0.08562109619379044
2.0,25.0,16.0,0.029627615585923195
2.0,26.0,16.0,0.05572166666388512
2.0,27.0,16.0,0.051644474267959595
2.0,28.0,16.0,0.05001359060406685
2.0,29.0,16.0,0.08507747203111649
2.0,30.0,16.0,0.06360424309968948
2.0,31.0,16.0,0.07474857568740845
2.0,32.0,16.0,0.044577326625585556
2.0,33.0,16.0,0.0655069425702095
2.0,34.0,16.0,0.07801033556461334
2.0,35.0,16.0,0.10491982102394104
2.0,36.0,16.0,0.1225876659154892
2.0,37.0,16.0,0.09540636837482452
2.0,38.0,16.0,0.08480565249919891
2.0,39.0,16.0,0.11443328112363815
2.0,40.0,16.0,0.19054089486598969
2.0,41.0,16.0,0.18456101417541504
2.0,42.0,16.0,0.2000543624162674
2.0,43.0,16.0,0.2000543624162674
2.0,44.0,16.0,0.30171242356300354
2.0,45.0,16.0,0.2829573154449463
2.0,46.0,16.0,0.22723567485809326
