X,Y,Z,ScaledValHard
46.0,71.0,4.0,0.2751714885234833
46.0,76.0,4.0,0.7761317491531372
46.0,81.0,4.0,0.7843621373176575
46.0,86.0,4.0,0.7761317491531372
46.0,91.0,4.0,0.7788751721382141
46.0,96.0,4.0,0.14869685471057892
46.0,101.0,4.0,0.803566575050354
46.0,106.0,4.0,0.8008230924606323
46.0,111.0,4.0,0.16296297311782837
46.0,116.0,4.0,0.46556928753852844
46.0,121.0,4.0,0.1533607840538025
46.0,126.0,4.0,0.2438957542181015
51.0,1.0,4.0,0.49108368158340454
51.0,6.0,4.0,0.8063099980354309
51.0,11.0,4.0,0.3086419701576233
51.0,16.0,4.0,0.13991770148277283
51.0,21.0,4.0,0.13689985871315002
51.0,26.0,4.0,0.8776406645774841
51.0,31.0,4.0,0.11769548058509827
51.0,36.0,4.0,0.09327847510576248
51.0,41.0,4.0,0.07489712536334991
51.0,46.0,4.0,0.06337448954582214
51.0,51.0,4.0,0.10562414675951004
51.0,56.0,4.0,0.2458161860704422
51.0,61.0,4.0,0.1739369034767151
51.0,66.0,4.0,0.17668037116527557
51.0,71.0,4.0,0.12812072038650513
51.0,76.0,4.0,0.13415639102458954
51.0,81.0,4.0,0.7843621373176575
51.0,86.0,4.0,0.844718873500824
51.0,91.0,4.0,0.8063099980354309
51.0,96.0,4.0,0.8200274705886841
51.0,101.0,4.0,0.1621399223804474
51.0,106.0,4.0,0.16598080098628998
51.0,111.0,4.0,0.7980795502662659
51.0,116.0,4.0,0.4197531044483185
51.0,121.0,4.0,0.43511661887168884
51.0,126.0,4.0,0.11001372337341309
56.0,1.0,4.0,0.7486968040466309
56.0,6.0,4.0,0.3286694288253784
56.0,11.0,4.0,0.2400548756122589
56.0,16.0,4.0,0.1297668069601059
56.0,21.0,4.0,0.1297668069601059
56.0,26.0,4.0,0.803566575050354
56.0,31.0,4.0,0.18134430050849915
56.0,36.0,4.0,0.15555556118488312
56.0,41.0,4.0,0.18628257513046265
56.0,46.0,4.0,0.044993139803409576
56.0,51.0,4.0,0.12757202982902527
56.0,56.0,4.0,0.18655692040920258
56.0,61.0,4.0,0.1761316955089569
56.0,66.0,4.0,0.10836763679981232
56.0,71.0,4.0,0.08120714128017426
56.0,76.0,4.0,0.09026063978672028
56.0,81.0,4.0,0.08477366715669632
56.0,86.0,4.0,0.0894375890493393
