X,Y,Z,Val
1.0,74.0,16.0,0.11563433053453454
1.0,75.0,16.0,0.11305645274774775
1.0,76.0,16.0,0.07360000200000001
1.0,77.0,16.0,0.12042181785285284
1.0,78.0,16.0,0.10053533206906906
1.0,79.0,16.0,0.30050499467267267
1.0,80.0,16.0,0.28835214224924927
1.0,81.0,16.0,0.31400001
1.0,82.0,16.0,0.34027796624024026
1.0,83.0,16.0,0.2979271168858859
1.0,84.0,16.0,0.30787035977777777
1.0,85.0,16.0,0.30823862803303304
1.0,86.0,16.0,0.30399999
1.0,87.0,16.0,0.3222328217327327
1.0,88.0,16.0,0.30897516454354357
1.0,89.0,16.0,0.33733182019819824
1.0,90.0,16.0,0.096116113006006
1.0,91.0,16.0,0.05620000099999999
1.0,92.0,16.0,0.06591811607507507
1.0,93.0,16.0,0.0821219193063063
1.0,94.0,16.0,0.12557757342642642
1.0,95.0,16.0,0.10164013683483485
1.0,96.0,16.0,0.08309999900000001
1.0,97.0,16.0,0.12520930517117115
1.0,98.0,16.0,0.1473054004864865
1.0,99.0,16.0,0.1546707655915916
1.0,100.0,16.0,0.15503903384684684
1.0,101.0,16.0,0.108599998
1.0,102.0,16.0,0.053765263651651636
1.0,103.0,16.0,0.0894872844114114
1.0,104.0,16.0,0.042348947738738735
1.0,105.0,16.0,0.020989388933933904
1.0,106.0,16.0,0.04070000000000001
1.0,107.0,16.0,0.02798648578378376
1.0,108.0,16.0,0.0714421399039039
1.0,109.0,16.0,0.13846696236036035
1.0,110.0,16.0,0.07181040815915915
1.0,111.0,16.0,0.05240000000000001
1.0,112.0,16.0,0.05339699539639639
1.0,113.0,16.0,0.05560660492792791
1.0,114.0,16.0,0.04308548424924923
1.0,115.0,16.0,0.05487006841741742
1.0,116.0,16.0,0.0995
1.0,117.0,16.0,0.08506806534834835
1.0,118.0,16.0,0.060025823990991
1.0,119.0,16.0,0.08433152883783783
1.0,120.0,16.0,0.05045084935435435
1.0,121.0,16.0,0.05710000200000002
1.0,122.0,16.0,0.07807096849849848
1.0,123.0,16.0,0.0434537525045045
1.0,124.0,16.0,0.04934604458858859
1.0,125.0,16.0,0.015097096849849848
1.0,126.0,16.0,0.082500003
1.0,127.0,16.0,0.05248146092042042
1.0,128.0,16.0,0.08911901615615617
1.0,129.0,16.0,0.1561438386126126
1.0,130.0,16.0,0.096116113006006
2.0,1.0,16.0,0.038297996930930917
2.0,2.0,16.0,0.04013933820720719
2.0,3.0,16.0,0.1288919877237237
2.0,4.0,16.0,0.013992292084084066
2.0,5.0,16.0,0.146568863975976
2.0,6.0,16.0,0.18192261648048047
2.0,7.0,16.0,0.10974203845045044
2.0,8.0,16.0,0.008836536510510506
2.0,9.0,16.0,0.03866626518618618
2.0,10.0,16.0,0.02246246195495495
2.0,11.0,16.0,0.03240570484684684
2.0,12.0,16.0,0.018043242891891884
2.0,13.0,16.0,0.02098938893393392
2.0,14.0,16.0,0.06370850654354356
2.0,15.0,16.0,0.062235433522522525
2.0,16.0,16.0,0.06739118909609608
2.0,17.0,16.0,0.04566336203603604
2.0,18.0,16.0,0.08580460185885885
2.0,19.0,16.0,0.03645665565465464
2.0,20.0,16.0,0.06334023828828829
2.0,21.0,16.0,0.009204804765765753
2.0,22.0,16.0,0.03792972867567569
2.0,23.0,16.0,0.030564363570570567
2.0,24.0,16.0,0.03166916833633633
2.0,25.0,16.0,0.08101711454054053
2.0,26.0,16.0,0.052292190630630626
2.0,27.0,16.0,0.03792972867567567
2.0,28.0,16.0,0.02393553497597598
2.0,29.0,16.0,0.0455423416108108
2.0,30.0,16.0,0.045910609866066064
2.0,31.0,16.0,0.04087587471771771
2.0,32.0,16.0,0.013624023828828819
2.0,33.0,16.0,0.06923253037237238
2.0,34.0,16.0,0.05857743659159159
2.0,35.0,16.0,0.06702292084084084
2.0,36.0,16.0,0.04713643505705705
2.0,37.0,16.0,0.05965755573573573
2.0,38.0,16.0,0.08985555266666666
2.0,39.0,16.0,0.10495455113213213
2.0,40.0,16.0,0.06039409224624625
2.0,41.0,16.0,0.04750470331231232
2.0,42.0,16.0,0.06591811607507507
2.0,43.0,16.0,0.06665465258558556
2.0,44.0,16.0,0.11195164798198198
2.0,45.0,16.0,0.03166916833633633
2.0,46.0,16.0,0.09206516219819819
2.0,47.0,16.0,0.05597487318318318
2.0,48.0,16.0,0.06775945735135135
2.0,49.0,16.0,0.03866626518618618
2.0,50.0,16.0,0.04934604458858859
2.0,51.0,16.0,0.023567266720720712
2.0,52.0,16.0,0.02135765718918919
2.0,53.0,16.0,0.019148047657657645
2.0,54.0,16.0,0.05266045888588588
